transcript	description	eval	begin	end
ENSMUST00000080541.4	Classic zinc finger, C2H2	0.0098	476	517
ENSMUST00000081184.2	Rhodopsin-like	0.0044	4	315
ENSMUST00000081544.12	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	26	68
ENSMUST00000081544.12	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	132	212
ENSMUST00000081544.12	PDZ domain	1.75e-05	411	538
ENSMUST00000081544.12	Synaptotagmin-like (S variant)	0.00031	576	626
ENSMUST00000082220.4	Rhodopsin-like	0.0084	1	307
ENSMUST00000084301.11	Plakin repeat	1e-04	1511	1735
ENSMUST00000084301.11	Plakin repeat	0.00051	1739	1917
ENSMUST00000084301.11	Plakin repeat	0.00022	2351	2551
ENSMUST00000084301.11	Plakin repeat	0.011	2536	2639
ENSMUST00000084301.11	Plakin repeat	0.0015	2644	2747
ENSMUST00000084301.11	Plakin repeat	0.00094	2273	2384
ENSMUST00000084301.11	Calponin-homology domain, CH-domain	9.93e-07	62	294
ENSMUST00000084301.11	Spectrin repeat	0.012	1223	1353
ENSMUST00000084301.11	Spectrin repeat	0.012	1380	1406
ENSMUST00000084301.11	Spectrin repeat	0.006	654	782
ENSMUST00000084301.11	Spectrin repeat	0.0083	743	867
ENSMUST00000084301.11	Spectrin repeat	0.013	3404	3554
ENSMUST00000084301.11	Spectrin repeat	0.0082	591	680
ENSMUST00000084301.11	Spectrin repeat	0.012	1424	1540
ENSMUST00000084301.11	Spectrin repeat	0.0082	310	426
ENSMUST00000084817.2	Rhodopsin-like	0.0059	8	317
ENSMUST00000087256.11	Phosphotyrosine-binding domain (PTB)	0.064	385	508
ENSMUST00000087256.11	WW domain	0.00036	283	321
ENSMUST00000089739.1	Rhodopsin-like	0.0087	1	307
ENSMUST00000090156.1	Rhodopsin-like	0.004	2	309
ENSMUST00000090776.6	Nucleosome core histones	2.71e-06	4	128
ENSMUST00000094830.1	Rhodopsin-like	0.0038	6	311
ENSMUST00000095085.1	Rhodopsin-like	0.0021	3	308
ENSMUST00000096301.4	Retrovirus zinc finger-like domains	0.0045	265	296
ENSMUST00000096612.3	Rhodopsin-like	0.0071	7	294
ENSMUST00000097809.9	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	26	68
ENSMUST00000097809.9	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	132	212
ENSMUST00000097809.9	PDZ domain	1.75e-05	411	538
ENSMUST00000097809.9	Synaptotagmin-like (S variant)	0.00031	576	626
ENSMUST00000097810.9	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	26	68
ENSMUST00000097810.9	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	132	212
ENSMUST00000097810.9	PDZ domain	1.75e-05	411	538
ENSMUST00000097810.9	Synaptotagmin-like (S variant)	0.00031	576	626
ENSMUST00000097811.9	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	26	68
ENSMUST00000097811.9	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	132	212
ENSMUST00000097811.9	PDZ domain	1.75e-05	411	538
ENSMUST00000097811.9	Synaptotagmin-like (S variant)	0.00031	576	626
ENSMUST00000098194.1	Rhodopsin-like	0.01	1	313
ENSMUST00000098844.4	Rhodopsin-like	0.011	5	285
ENSMUST00000098973.2	HMG-box	8.78e-05	211	312
ENSMUST00000098973.2	HMG-box	8.49e-05	93	173
ENSMUST00000099326.9	DBL homology domain (DH-domain)	0.00026	224	447
ENSMUST00000099326.9	Pleckstrin-homology domain (PH domain)	0.009	22	132
ENSMUST00000099442.3	Classic zinc finger, C2H2	0.023	1	45
ENSMUST00000099442.3	Classic zinc finger, C2H2	0.0088	34	86
ENSMUST00000099751.1	Rhodopsin-like	0.004	5	302
ENSMUST00000099752.1	Rhodopsin-like	0.0031	5	302
ENSMUST00000099800.1	Rhodopsin-like	0.01	1	304
ENSMUST00000099893.4	Rhodopsin-like	0.009	2	310
ENSMUST00000100790.3	NAD kinase-like	0.044	110	219
ENSMUST00000100790.3	NAD kinase-like	0.044	256	288
ENSMUST00000104955.3	Ankyrin repeat	0.0019	337	437
ENSMUST00000104958.1	Proteasome activator	1.76e-06	8	232
ENSMUST00000106220.8	Spectrin repeat	0.012	1374	1504
ENSMUST00000106220.8	Spectrin repeat	0.012	1531	1557
ENSMUST00000106220.8	Spectrin repeat	0.006	805	933
ENSMUST00000106220.8	Spectrin repeat	0.0083	894	1018
ENSMUST00000106220.8	Spectrin repeat	0.0082	742	831
ENSMUST00000106220.8	Spectrin repeat	0.012	1575	1691
ENSMUST00000106220.8	Calponin-homology domain, CH-domain	1.09e-05	340	445
ENSMUST00000106220.8	Spectrin repeat	0.0082	461	577
ENSMUST00000108465.3	Rhodopsin-like	0.0034	1	309
ENSMUST00000108817.4	Nucleosome core histones	2.64e-06	4	128
ENSMUST00000109962.3	Rhodopsin-like	0.00016	15	329
ENSMUST00000110619.1	Ribosomal protein L44e	0.0097	2	94
ENSMUST00000110992.8	MOSC N-terminal domain-like	0.0033	61	194
ENSMUST00000111035.1	DNA-binding protein AlbA	0.056	33	136
ENSMUST00000112162.3	Rhodopsin-like	0.0038	3	315
ENSMUST00000112165.3	Rhodopsin-like	0.0043	1	311
ENSMUST00000112168.3	Rhodopsin-like	0.0039	1	311
ENSMUST00000112242.1	Voltage-gated potassium channels	0.00062	173	198
ENSMUST00000112242.1	Voltage-gated potassium channels	0.00062	255	462
ENSMUST00000112242.1	Tetramerization domain of potassium channels	4.95e-06	41	137
ENSMUST00000114355.1	RING finger domain, C3HC4	0.01	140	200
ENSMUST00000114761.1	Rhodopsin-like	0.00026	25	353
ENSMUST00000115273.8	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	26	68
ENSMUST00000115273.8	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0063	132	212
ENSMUST00000115273.8	PDZ domain	1.75e-05	411	538
ENSMUST00000115273.8	Synaptotagmin-like (S variant)	0.00031	576	626
ENSMUST00000115354.1	RING finger domain, C3HC4	0.0051	255	306
ENSMUST00000115354.1	PA domain	0.011	97	137
ENSMUST00000120330.1	Linker histone H1/H5	6.28e-05	36	109
ENSMUST00000127748.4	Ngr ectodomain-like	0.0031	24	401
ENSMUST00000129312.1	Linker histone H1/H5	6.28e-05	36	109
ENSMUST00000131954.1	DNA gyrase/MutL, N-terminal domain	0.042	27	141
ENSMUST00000131954.1	DNA gyrase/MutL, N-terminal domain	0.042	191	279
ENSMUST00000157405.1	Nucleosome core histones	2.71e-06	4	128
ENSMUST00000162731.1	Classic zinc finger, C2H2	0.019	265	317
ENSMUST00000162731.1	Classic zinc finger, C2H2	0.0068	45	96
ENSMUST00000162731.1	Classic zinc finger, C2H2	0.018	378	428
ENSMUST00000162731.1	Classic zinc finger, C2H2	0.018	419	464
ENSMUST00000162731.1	Classic zinc finger, C2H2	0.033	82	127
ENSMUST00000164307.1	Rhodopsin-like	0.0093	7	297
ENSMUST00000168341.1	Rhodopsin-like	0.012	6	314
ENSMUST00000169476.1	Steroid-binding domain	0.0064	33	84
ENSMUST00000170285.1	Clathrin adaptor core protein	1.02e-06	23	602
ENSMUST00000170285.1	gamma-adaptin C-terminal appendage domain-like	8.58e-05	664	790
ENSMUST00000170464.2	Amylase, catalytic domain	8.2e-05	186	598
ENSMUST00000170464.2	E-set domains of sugar-utilizing enzymes	0.0065	69	181
ENSMUST00000170464.2	alpha-Amylases, C-terminal beta-sheet domain	0.02	599	647
ENSMUST00000170504.1	Rhodopsin-like	0.0036	2	307
ENSMUST00000171307.1	Rhodopsin-like	0.012	4	312
ENSMUST00000171783.1	Rhodopsin-like	0.023	3	293
ENSMUST00000175155.2	Phosphate binding protein-like	1.83e-05	1	74
ENSMUST00000175485.1	Phosphate binding protein-like	1.46e-05	1	74
ENSMUST00000177669.1	Profilin (actin-binding protein)	0.00014	2	44
ENSMUST00000178124.2	Ngr ectodomain-like	0.0026	30	287
ENSMUST00000178140.1	Extended AAA-ATPase domain	0.00014	382	620
ENSMUST00000179445.7	Phoshatidylinositol transfer protein, PITP	1.58e-06	2	97
ENSMUST00000179613.1	N-acetyl transferase, NAT	0.0086	78	204
ENSMUST00000179669.2	Forkhead DNA-binding domain	2.85e-05	172	266
ENSMUST00000179669.2	beta-sandwich domain of Sec23/24	0.025	45	90
ENSMUST00000180131.1	Classic zinc finger, C2H2	0.0051	59	116
ENSMUST00000180131.1	Classic zinc finger, C2H2	0.0066	171	228
ENSMUST00000180131.1	Classic zinc finger, C2H2	0.0078	115	172
ENSMUST00000180131.1	Classic zinc finger, C2H2	0.0067	6	60
ENSMUST00000180322.1	Elongation factor TFIIS domain 2	0.0075	164	274
ENSMUST00000180322.1	Conserved domain common to transcription factors TFIIS, elongin A, CRSP70	0.0041	1	89
ENSMUST00000180369.1	MaoC-like	0.00051	27	155
ENSMUST00000182039.1	Insulin-like	0.0046	9	59
ENSMUST00000182079.1	GAPDH-like	9.66e-06	19	104
ENSMUST00000182841.1	Glycerol-3-phosphate transporter	0.058	24	126
ENSMUST00000182841.1	Glycerol-3-phosphate transporter	0.058	160	192
ENSMUST00000183146.1	RING finger domain, C3HC4	0.016	260	312
ENSMUST00000183146.1	CCCH zinc finger	0.003	193	228
ENSMUST00000183202.1	SH3-domain	0.0057	2	21
ENSMUST00000183332.1	Retrovirus zinc finger-like domains	0.0035	17	38
ENSMUST00000183831.1	GAPDH-like	1.49e-06	18	142
ENSMUST00000184183.1	Actin/HSP70	6.8e-07	2	127
ENSMUST00000184255.1	Actin/HSP70	6.8e-07	2	127
ENSMUST00000184369.1	Canonical RBD	3.29e-05	52	180
ENSMUST00000184402.1	SPRY domain	0.00049	2	59
ENSMUST00000189999.1	Bcl-2 inhibitors of programmed cell death	1.9e-07	6	196
ENSMUST00000190632.1	Leukotriene A4 hydrolase N-terminal domain	0.01	8	33
ENSMUST00000191724.1	Tetratricopeptide repeat (TPR)	0.015	26	102
ENSMUST00000191724.1	RING finger domain, C3HC4	0.035	130	163
ENSMUST00000191946.1	Glycerol-3-phosphate transporter	0.091	86	239
ENSMUST00000192401.1	Glutathione peroxidase-like	0.0011	13	45
ENSMUST00000192506.1	Glyceraldehyde-3-phosphate dehydrogenase-like, N-terminal domain	3.78e-05	1	67
ENSMUST00000192817.1	Cadherin	0.00099	323	424
ENSMUST00000192817.1	Cadherin	0.005	212	321
ENSMUST00000192817.1	Cadherin	0.012	528	636
ENSMUST00000192817.1	Cadherin	0.0041	1	104
ENSMUST00000192817.1	Cadherin	0.00079	100	225
ENSMUST00000192817.1	Cadherin	0.0023	420	538
ENSMUST00000193123.1	Cadherin	0.0021	345	453
ENSMUST00000193123.1	Cadherin	0.0061	129	236
ENSMUST00000193123.1	Cadherin	0.00071	232	355
ENSMUST00000193123.1	Cadherin	0.0021	448	569
ENSMUST00000193123.1	Cadherin	0.0089	612	693
ENSMUST00000193798.1	Regulator of G-protein signaling, RGS	0.0054	1	22
ENSMUST00000194408.1	MATH domain	2.64e-05	1	89
ENSMUST00000195681.1	Bee venom hyaluronidase	3.2e-05	35	324
ENSMUST00000196096.1	Rhodopsin-like	0.0027	35	331
ENSMUST00000196482.1	C-terminal, gelsolin-like domain of Sec23/24	0.014	1	31
ENSMUST00000197769.1	SPOC domain	0.00013	784	956
ENSMUST00000197769.1	Canonical RBD	0.019	109	247
ENSMUST00000197769.1	Canonical RBD	0.0025	372	526
ENSMUST00000198528.1	Ribosomal protein L13	0.0064	1	27
ENSMUST00000199742.1	Canonical RBD	0.021	6	59
ENSMUST00000200810.1	Growth factor receptor domain	0.0031	30	100
ENSMUST00000200810.1	Ovomucoid domain III-like	0.01	86	134
ENSMUST00000200972.1	V set domains (antibody variable domain-like)	0.1	15	65
ENSMUST00000201806.1	F-box domain	0.002	52	126
ENSMUST00000202034.1	T-box	0.00067	103	130
ENSMUST00000202363.1	Cyclin	0.003	19	71
ENSMUST00000202980.1	DLC	0.00023	2	45
ENSMUST00000204550.1	Hairy Orange domain	0.0057	2	41
ENSMUST00000205351.1	Canonical RBD	0.0013	2	37
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.025	1396	1447
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.02	927	977
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.021	792	814
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.021	895	922
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.022	595	619
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.022	760	787
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.018	185	236
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.023	1279	1302
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.023	1365	1392
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.027	94	145
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.04	994	1045
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.026	296	358
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.051	535	585
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.033	1433	1482
ENSMUST00000206340.1	Classic zinc finger, C2H2	0.019	3	42
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.017	451	503
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.011	229	279
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.0098	546	593
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.011	670	720
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.0064	101	153
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.0085	812	864
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.012	872	921
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.017	767	823
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.011	711	767
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.015	269	331
ENSMUST00000207193.1	Classic zinc finger, C2H2	0.01	427	460
ENSMUST00000207471.1	SAM (sterile alpha motif) domain	0.043	7	59
ENSMUST00000207787.1	TRAPP components	2.09e-07	22	186
ENSMUST00000208255.1	RPR domain (SMART 00582 )	0.0036	14	65
ENSMUST00000208271.1	Haloperoxidase	0.06	93	187
ENSMUST00000208681.1	Nuclear receptor	0.00011	76	150
ENSMUST00000209481.1	SH2 domain	0.0013	14	60
ENSMUST00000209613.1	L-arabinose binding protein-like	0.016	11	192
ENSMUST00000210013.1	Toll/Interleukin receptor TIR domain	0.0015	109	187
ENSMUST00000210390.1	Ribonuclease PH domain 1-like	3.03e-07	31	175
ENSMUST00000210390.1	Ribonuclease PH domain 2-like	4.22e-06	177	267
ENSMUST00000211207.1	GDI-like N domain	4.11e-11	5	449
ENSMUST00000211207.1	GDI-like N domain	4.11e-11	561	614
ENSMUST00000211207.1	GDI-like	5.01e-06	450	560
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.006	411	468
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.006	187	244
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.0068	103	160
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.0086	355	412
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.006	299	356
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.0088	243	300
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.014	523	571
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.017	3	49
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.0036	481	533
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.0098	61	113
ENSMUST00000211338.1	Classic zinc finger, C2H2	0.02	150	182
ENSMUST00000213517.1	Cadherin	0.0083	3	36
ENSMUST00000213525.1	Canonical RBD	0.0088	8	33
ENSMUST00000214190.1	Ubiquitin-related	0.003	10	48
ENSMUST00000218216.1	HLH, helix-loop-helix DNA-binding domain	0.0027	81	144
ENSMUST00000218564.1	Predicted metal-dependent hydrolase	0.0022	4	75
ENSMUST00000218670.1	Pyruvate oxidase and decarboxylase PP module	0.013	6	53
ENSMUST00000219047.1	Protein kinases, catalytic subunit	0.00076	1	38
ENSMUST00000219180.1	Nucleotide and nucleoside kinases	0.02	1	41
ENSMUST00000219555.1	Actin/HSP70	3.25e-08	5	188
ENSMUST00000219555.1	Actin/HSP70	2.29e-08	194	385
ENSMUST00000219555.1	Heat shock protein 70kD (HSP70), peptide-binding domain	9.32e-08	389	546
ENSMUST00000219555.1	Heat shock protein 70kD (HSP70), C-terminal subdomain	3.34e-05	541	621
ENSMUST00000219990.1	Group II chaperonin (CCT, TRIC), ATPase domain	0.024	5	67
ENSMUST00000221421.1	Glutathione peroxidase-like	0.012	6	38
ENSMUST00000222302.1	Ran-binding domain	0.027	6	49
ENSMUST00000222602.1	Classic zinc finger, C2H2	0.0059	2	54
ENSMUST00000222602.1	Classic zinc finger, C2H2	0.01	258	310
ENSMUST00000222602.1	Classic zinc finger, C2H2	0.0063	156	213
ENSMUST00000222602.1	Classic zinc finger, C2H2	0.0056	212	269
ENSMUST00000222602.1	Classic zinc finger, C2H2	0.006	100	157
ENSMUST00000222602.1	Classic zinc finger, C2H2	0.0076	44	101
ENSMUST00000222667.1	HLH, helix-loop-helix DNA-binding domain	0.004	38	97
ENSMUST00000224107.1	SCAN domain	5.17e-05	46	135
ENSMUST00000226765.1	BTB/POZ domain	0.0072	85	192
ENSMUST00000229075.1	Splicing factor U2AF subunits	0.032	230	296
ENSMUST00000229181.1	Cytochrome P450	0.00087	2	56
ENSMUST00000229775.1	Hedgehog (development protein), N-terminal signaling domain	8.57e-05	40	110
ENSMUST00000229890.1	Ngr ectodomain-like	0.013	40	262
ENSMUST00000229890.1	I set domains	0.024	298	369
ENSMUST00000229978.1	RPB6	0.0022	1	24
ENSMUST00000231525.1	Multidomain sulfurtransferase (rhodanese)	3.11e-07	8	157
ENSMUST00000231525.1	Multidomain sulfurtransferase (rhodanese)	0.00038	152	197
ENSMUST00000231704.1	V set domains (antibody variable domain-like)	0.0023	51	147
ENSMUST00000233578.1	ets domain	0.00016	1	50
ENSMUST00000234216.1	NagD-like	0.0024	28	211
ENSMUST00000235307.1	Enolase	4.33e-10	143	431
ENSMUST00000235307.1	Enolase N-terminal domain-like	6.87e-07	3	140
ENSMUST00000237313.1	NagB-like	0.00026	1	42
ENSMUST00000238978.1	Tetramerization domain of potassium channels	0.011	15	76
ENSMUST00000239189.1	Mitochondrial carrier	0.0014	3	253
MSTRG.10001.1	AHSA1 domain	2.07e-07	60	189
MSTRG.10001.5	Activator of Hsp90 ATPase, Aha1	0.0015	20	158
MSTRG.10030.1	Laminin G-like module	0.0016	206	410
MSTRG.10030.1	Laminin G-like module	0.0015	847	1025
MSTRG.10030.1	Laminin G-like module	0.0085	651	841
MSTRG.10030.1	Laminin G-like module	2.25e-06	1058	1198
MSTRG.10030.1	Laminin G-like module	2.25e-06	1227	1269
MSTRG.10030.1	Laminin G-like module	0.0012	445	642
MSTRG.10030.1	Laminin G-like module	0.005	18	188
MSTRG.10030.15	Laminin G-like module	4.2e-07	82	198
MSTRG.10030.15	Laminin G-like module	4.2e-07	229	281
MSTRG.10030.16	Laminin G-like module	4.2e-07	82	198
MSTRG.10030.16	Laminin G-like module	4.2e-07	229	281
MSTRG.10030.2	Laminin G-like module	0.0016	206	410
MSTRG.10030.2	Laminin G-like module	0.0015	847	1025
MSTRG.10030.2	Laminin G-like module	0.0085	651	841
MSTRG.10030.2	Laminin G-like module	2.25e-06	1058	1198
MSTRG.10030.2	Laminin G-like module	2.25e-06	1227	1269
MSTRG.10030.2	Laminin G-like module	0.0012	445	642
MSTRG.10030.2	Laminin G-like module	0.005	18	188
MSTRG.10030.20	Laminin G-like module	3e-07	82	251
MSTRG.10030.3	Laminin G-like module	0.0016	206	410
MSTRG.10030.3	Laminin G-like module	0.0015	847	1025
MSTRG.10030.3	Laminin G-like module	0.0085	651	841
MSTRG.10030.3	Laminin G-like module	2.25e-06	1067	1207
MSTRG.10030.3	Laminin G-like module	2.25e-06	1236	1278
MSTRG.10030.3	Laminin G-like module	0.0012	445	642
MSTRG.10030.3	Laminin G-like module	0.005	18	188
MSTRG.1005.1	Dimeric isocitrate & isopropylmalate dehydrogenases	5.82e-13	8	410
MSTRG.1006.14	Phosphatidylinositol phosphate kinase IIbeta, PIPK IIbeta	0.00061	5	252
MSTRG.10080.2	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	0.00014	560	736
MSTRG.10080.2	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	0.00014	769	866
MSTRG.10083.1	HCP-like	0.0059	512	646
MSTRG.10083.1	HCP-like	0.00017	305	538
MSTRG.10083.1	HCP-like	0.0036	146	269
MSTRG.10103.2	Voltage-gated potassium channels	0.0041	214	365
MSTRG.10103.2	Voltage-gated potassium channels	0.0042	66	98
MSTRG.10103.2	Voltage-gated potassium channels	0.0042	148	206
MSTRG.10119.14	WD40-repeat	0.019	11	207
MSTRG.10119.14	WD40-repeat	0.019	323	385
MSTRG.10119.2	WD40-repeat	0.0064	1194	1295
MSTRG.10119.2	WD40-repeat	0.0064	1414	1558
MSTRG.10119.2	WD40-repeat	0.005	194	267
MSTRG.10119.2	WD40-repeat	0.005	323	466
MSTRG.10119.2	WD40-repeat	0.005	524	593
MSTRG.10119.2	WD40-repeat	0.00065	52	353
MSTRG.10119.2	Quinoprotein alcohol dehydrogenase-like	0.025	713	812
MSTRG.10119.2	Quinoprotein alcohol dehydrogenase-like	0.025	971	1137
MSTRG.10119.2	Quinoprotein alcohol dehydrogenase-like	0.025	1206	1267
MSTRG.10119.2	Quinoprotein alcohol dehydrogenase-like	0.077	864	939
MSTRG.10119.3	WD40-repeat	0.0028	12	175
MSTRG.10122.10	Tetratricopeptide repeat (TPR)	0.0053	2	202
MSTRG.10125.1	Forkhead DNA-binding domain	0.00021	113	203
MSTRG.10143.10	Tyrosyl-DNA phosphodiesterase TDP1	4.4e-07	1	117
MSTRG.10143.11	Tyrosyl-DNA phosphodiesterase TDP1	4.4e-07	1	117
MSTRG.10143.12	Tyrosyl-DNA phosphodiesterase TDP1	4.4e-07	1	117
MSTRG.10143.5	Tyrosyl-DNA phosphodiesterase TDP1	3.52e-10	352	608
MSTRG.10143.5	Tyrosyl-DNA phosphodiesterase TDP1	8.85e-09	147	350
MSTRG.10143.8	Tyrosyl-DNA phosphodiesterase TDP1	6.93e-07	147	265
MSTRG.10153.2	Calmodulin-like	8.62e-07	2	141
MSTRG.10165.8	Protein kinases, catalytic subunit	1.16e-09	38	270
MSTRG.10178.1	Rhodopsin-like	5e-04	6	316
MSTRG.10219.1	PHD domain	0.0049	124	197
MSTRG.10219.4	PHD domain	0.014	1	14
MSTRG.10221.4	BTB/POZ domain	0.019	126	217
MSTRG.10221.4	BTB/POZ domain	0.0086	271	343
MSTRG.10221.4	BTB/POZ domain	0.0086	370	382
MSTRG.1023.1	D-ribulose-5-phosphate 3-epimerase	0.0038	5	41
